1|0048502056363|0049|0048644519685|28-07-2013 00:00:01|0 00:07:20|||
10|00380533068501|00421|00420671016764|28-07-2013 00:00:07|0 00:02:51||48.67|
1|0048652931507|007|00370658722608|28-07-2013 00:00:24|0 00:01:29|||
3|00380683022715|00420|0049562686811|28-07-2013 00:00:28|0 00:03:01|||
4|00380668230575|0048|00375667026851|28-07-2013 00:00:33|0 00:05:21|||
6|00380642935207|007|00375623367109|28-07-2013 00:01:01|0 00:08:41|||
2|0048605591306|0048|00375653894669|28-07-2013 00:01:08|0 00:03:00|||
6|00380545862827|0049|0049661329114|28-07-2013 00:01:17|0 00:07:37|||
1|0048649338419|007|0049536443061|28-07-2013 00:01:26|0 00:08:48|||
6|00380513839142|00420|00421668246140|28-07-2013 00:01:33|0 00:06:09|||
1|0048551464068|007|00380562291349|28-07-2013 00:01:42|0 00:09:14|||
3|0048594232566|00370|0048670315512|28-07-2013 00:02:01|0 00:16:02|||
8|7554-6370|00375||28-07-2013 00:02:06|0 00:13:12||93.61|
4|00380565356324|00375|00380574166043|28-07-2013 00:02:34|0 00:08:11|||
2|0048622339737|00375|00375640661680|28-07-2013 00:02:57|0 00:03:02|||
7|6874-7329|00421||28-07-2013 00:02:57|3 85:57:53|4330||
3|00380658624420|00420|00421623392434|28-07-2013 00:02:59|0 00:08:16|||
2|0048519224908|00420|007623062799|28-07-2013 00:03:08|0 00:07:47|||
8|1893-6955|00380||28-07-2013 00:03:11|0 00:03:21||28.36|
3|0048682508184|007|00380594726924|28-07-2013 00:03:23|0 00:08:13|||
4|00380572795808|00420|00421695901067|28-07-2013 00:03:28|0 00:04:10|||
2|0048545720131|00370|007663772188|28-07-2013 00:03:29|0 00:04:07|||
10|00380505733518|007|00380568149378|28-07-2013 00:03:57|0 00:11:01||59.47|
10|0048639751945|0048|00375604506170|28-07-2013 00:04:03|0 00:10:36||42.3|
7|9836-9515|0049||28-07-2013 00:04:19|0 03:02:58|2753||
10|00380541700086|00421|0048683299364|28-07-2013 00:04:26|0 00:00:59||68.34|
1|0048665234013|0049|00421675381959|28-07-2013 00:04:41|0 00:12:03|||
10|0048601754359|00380|00421584478664|28-07-2013 00:04:48|0 00:01:24||91.83|
7|8202-3175|0048||28-07-2013 00:04:51|1 41:04:05|2771||
1|0048615421308|0048|00421603609145|28-07-2013 00:04:53|0 00:07:55|||
4|0048689276149|00370|00421571059855|28-07-2013 00:06:05|0 00:14:33|||
9|0048659504801|0048|0048569272533|28-07-2013 00:06:05|0 00:01:41||74.63|
5|0048560036876|00420|0049608542459|28-07-2013 00:06:14|0 00:04:00|||
4|0048655575544|0049|00420646040693|28-07-2013 00:06:28|0 00:10:18|||
2|00380525926781|00380|00375569786986|28-07-2013 00:06:38|0 00:02:10|||
8|2754-8215|007||28-07-2013 00:06:38|0 00:08:05||98.0|
3|0048546554831|00375|00421564130527|28-07-2013 00:07:11|0 00:06:44|||
8|9716-5927|00370||28-07-2013 00:07:25|0 00:00:04||79.17|
6|00380670257471|00370|00375639877453|28-07-2013 00:07:31|0 00:06:31|||
9|0048662197854|007|007518467006|28-07-2013 00:07:51|0 00:16:06||61.03|
3|00380634780494|00421|00420643754781|28-07-2013 00:07:52|0 00:08:41|||
9|0048650169073|00370|00420514047805|28-07-2013 00:07:52|0 00:05:32||22.4|
2|0048622747129|0049|00380575673874|28-07-2013 00:07:55|0 00:12:09|||
5|00380678175530|00421|00421655874028|28-07-2013 00:08:00|0 00:07:45|||
4|0048660823767|0049|00380675368031|28-07-2013 00:08:01|0 00:06:39|||
10|00380505454410|00370|00421663388559|28-07-2013 00:08:08|0 00:04:16||43.96|
9|0048575174297|00375|00421600368159|28-07-2013 00:08:26|0 00:01:37||58.17|
8|9594-3904|0048||28-07-2013 00:08:31|0 00:04:57||91.37|
1|00380687425377|0048|00421515924628|28-07-2013 00:08:31|0 00:02:54|||
4|0048603706009|0048|00420644223083|28-07-2013 00:08:32|0 00:06:34|||
2|00380620370866|00370|00421692091816|28-07-2013 00:08:49|0 00:00:50|||
9|0048501067401|00370|00380675572119|28-07-2013 00:09:11|0 00:03:10||95.8|
6|0048567890680|00375|00380622101140|28-07-2013 00:09:36|0 00:14:25|||
9|0048556307765|00370|0048594407340|28-07-2013 00:09:39|0 00:06:10||32.52|
6|0048594833091|00380|007657624182|28-07-2013 00:09:51|0 00:04:39|||
10|00380516303757|007|00370566944037|28-07-2013 00:09:52|0 00:02:08||44.95|
9|00380691608624|00380|007510352943|28-07-2013 00:10:01|0 00:11:19||64.36|
5|00380599537176|0049|00380603330707|28-07-2013 00:10:01|0 00:07:25|||
7|1109-6673|00380||28-07-2013 00:10:05|1 24:32:03|1333||
3|00380664974043|00380|0048648087618|28-07-2013 00:10:09|0 00:03:09|||
3|00380523014266|00420|00420619477979|28-07-2013 00:10:10|0 00:00:01|||
