2|00380602888331|00370|00370618078297|28-07-2013 19:12:25|0 00:04:05|||
3|00380574756463|00375|00375514728424|28-07-2013 19:12:30|0 00:02:44|||
1|00380538887672|0049|007537903169|28-07-2013 19:12:31|0 00:04:07|||
4|0048507307978|00370|0048644613092|28-07-2013 19:12:33|0 00:03:29|||
1|00380504314850|00380|00380639521317|28-07-2013 19:12:45|0 00:00:45|||
10|00380502992273|00420|00370526339079|28-07-2013 19:12:48|0 00:09:33||52.43|
8|7779-6062|00420||28-07-2013 19:12:59|0 00:06:36||79.39|
6|0048559332101|00375|007669151242|28-07-2013 19:13:05|0 00:07:31|||
5|00380536029903|0048|0048606209620|28-07-2013 19:13:08|0 00:02:26|||
2|00380541219064|00420|00420562995852|28-07-2013 19:13:09|0 00:05:22|||
3|0048506707239|00420|00421537414563|28-07-2013 19:13:09|0 00:08:49|||
5|00380637925515|007|00421606395096|28-07-2013 19:13:22|0 00:14:44|||
10|0048535462033|00420|0048545236004|28-07-2013 19:13:29|0 00:04:09||75.7|
2|00380586261137|0049|00421652263113|28-07-2013 19:13:29|0 00:10:22|||
1|0048690909928|007|00421630369787|28-07-2013 19:13:29|0 00:08:23|||
5|0048681338681|007|007597274285|28-07-2013 19:13:31|0 00:00:43|||
6|0048680428879|00375|007651151769|28-07-2013 19:13:34|0 00:01:00|||
10|00380674179240|00380|00370590810960|28-07-2013 19:13:40|0 00:03:43||35.0|
4|00380600485212|007|00370636547748|28-07-2013 19:13:54|0 00:03:27|||
9|0048613264554|00421|0048576216440|28-07-2013 19:14:02|0 00:02:22||44.33|
10|00380605090101|00375|0049582816210|28-07-2013 19:14:08|0 00:08:24||55.44|
2|0048684132374|00375|00370534032266|28-07-2013 19:14:09|0 00:07:12|||
1|00380503871659|0048|00421632013707|28-07-2013 19:14:19|0 00:04:15|||
1|00380618071559|0049|0048501914343|28-07-2013 19:14:31|0 00:00:08|||
5|00380655538447|007|00370645009681|28-07-2013 19:14:31|0 00:01:05|||
5|00380503492178|00380|00421513027590|28-07-2013 19:14:37|0 00:06:33|||
6|00380686230820|00370|0048510531139|28-07-2013 19:14:48|0 00:07:18|||
1|00380543134073|00420|0049508400061|28-07-2013 19:14:48|0 00:02:41|||
5|0048540695730|00421|00370682251557|28-07-2013 19:14:54|0 00:06:14|||
8|5890-7291|0048||28-07-2013 19:15:15|0 00:06:37||8.94|
1|0048569152606|00370|00421691998079|28-07-2013 19:15:16|0 00:00:23|||
3|00380656044658|00370|0049641850908|28-07-2013 19:15:21|0 00:12:20|||
1|00380620934972|007|007560791374|28-07-2013 19:15:34|0 00:00:14|||
3|0048567988566|00370|00421566382022|28-07-2013 19:16:02|0 00:11:49|||
8|6793-6962|00370||28-07-2013 19:16:12|0 00:04:58||89.24|
1|00380609001958|00375|0048585237857|28-07-2013 19:16:33|0 00:05:42|||
4|0048675745846|007|00380626236971|28-07-2013 19:16:41|0 00:13:40|||
6|0048594690313|0049|0048658637668|28-07-2013 19:17:29|0 00:04:15|||
4|00380671558502|0048|00370627005028|28-07-2013 19:17:34|0 00:03:47|||
5|00380533094137|00375|00370574869476|28-07-2013 19:18:09|0 00:04:51|||
10|0048586941535|007|00370587235348|28-07-2013 19:18:10|0 00:01:39||3.21|
2|00380536970109|00420|00420610852659|28-07-2013 19:18:13|0 00:00:06|||
8|4486-5222|00370||28-07-2013 19:18:18|0 00:05:45||16.47|
3|0048678726573|0048|00420608564774|28-07-2013 19:18:24|0 00:03:07|||
6|0048601624083|00370|00421664916940|28-07-2013 19:18:25|0 00:04:09|||
6|0048532809855|0049|007641124985|28-07-2013 19:18:26|0 00:03:41|||
5|0048522679246|00421|0049611591803|28-07-2013 19:18:29|0 00:07:16|||
