5|00380614942051|00380|00420544904550|15-07-2013 00:00:13|0 00:03:12||
3|00380600630205|00375|00380556935376|15-07-2013 00:00:15|0 00:03:06||
8|5173-8404|00380||15-07-2013 00:00:23|0 00:00:36||39.24
9|00380695882360|00375|007680385166|15-07-2013 00:00:26|0 00:07:43||37.76
2|0048500537777|00380|007692942610|15-07-2013 00:00:48|0 00:06:37||
5|0048629733583|00375|00370543746722|15-07-2013 00:01:00|0 00:02:50||
2|00380677654561|00420|0048642492009|15-07-2013 00:01:12|0 00:08:12||
8|1633-8132|0048||15-07-2013 00:01:17|0 00:03:03||54.08
9|00380658347064|00370|00420675992547|15-07-2013 00:01:18|0 00:06:14||2.19
7|1098-8178|00375||15-07-2013 00:01:19|1 39:42:42|2725|
6|00380614014867|0049|00370545791869|15-07-2013 00:01:22|0 00:04:01||
8|6432-1497|00380||15-07-2013 00:01:27|0 00:09:39||47.1
5|00380546725447|00375|00370658966971|15-07-2013 00:01:46|0 00:07:05||
2|0048646692545|007|00380641044496|15-07-2013 00:02:01|0 00:05:22||
6|00380544910567|0048|0049599472660|15-07-2013 00:02:09|0 00:10:13||
2|00380596259243|0049|00380635440027|15-07-2013 00:02:25|0 00:05:36||
7|8802-8048|007||15-07-2013 00:02:37|0 14:28:49|4131|
7|9151-2238|00421||15-07-2013 00:02:39|0 14:26:38|1854|
3|0048638408720|00370|007615818005|15-07-2013 00:02:41|0 00:04:02||
4|00380639545751|00420|00375589440186|15-07-2013 00:02:46|0 00:01:38||
7|2025-5386|0049||15-07-2013 00:02:54|1 24:33:24|2366|
10|0048608390817|00380|00380612640978|15-07-2013 00:02:55|0 00:08:00||17.59
10|00380526831388|0048|00420664674671|15-07-2013 00:03:06|0 00:01:10||90.22
10|00380593499640|00380|00375630775670|15-07-2013 00:03:18|0 00:12:37||46.03
1|00380567260593|0049|0048683775285|15-07-2013 00:03:31|0 00:05:22||
5|0048517285941|0048|007565278549|15-07-2013 00:03:57|0 00:07:58||
5|00380606107769|0049|00421587637645|15-07-2013 00:04:07|0 00:04:56||
1|0048515676912|00370|0048683763831|15-07-2013 00:04:17|0 00:01:22||
10|0048626247873|00380|0049578386458|15-07-2013 00:04:22|0 00:01:32||39.45
4|0048672807144|00380|00421564599600|15-07-2013 00:04:29|0 00:08:32||
10|00380699073274|00370|00375573011776|15-07-2013 00:04:35|0 00:13:56||92.79
2|00380528415945|00421|007528443991|15-07-2013 00:04:38|0 00:01:14||
1|00380598757585|007|00375671518667|15-07-2013 00:04:39|0 00:02:48||
10|00380534638132|00421|00375620926380|15-07-2013 00:04:57|0 00:10:25||98.74
5|00380634747005|0048|0048549972786|15-07-2013 00:05:10|0 00:14:49||
4|0048655049658|00421|00421618335552|15-07-2013 00:05:16|0 00:11:17||
5|00380670271315|00370|00421568758091|15-07-2013 00:05:33|0 00:12:31||
8|4291-8116|00421||15-07-2013 00:05:36|0 00:00:28||31.36
1|00380672910944|00380|0048662839132|15-07-2013 00:05:43|0 00:00:42||
5|00380617249736|0048|0049569362567|15-07-2013 00:05:46|0 00:01:08||
3|00380645594355|0049|0049597328323|15-07-2013 00:05:48|0 00:15:14||
10|00380580867871|00380|00421522047527|15-07-2013 00:05:56|0 00:00:16||32.4
4|00380516934751|00375|00370509909858|15-07-2013 00:06:17|0 00:07:04||
5|0048685460119|00380|00421557938027|15-07-2013 00:06:37|0 00:07:46||
3|00380673916147|0049|00370646774466|15-07-2013 00:06:50|0 00:05:20||
6|00380647416651|00375|00421549452705|15-07-2013 00:07:02|0 00:00:18||
3|0048567476448|007|00421616509934|15-07-2013 00:07:03|0 00:01:49||
3|0048572665450|0048|00375595675069|15-07-2013 00:07:13|0 00:03:02||
3|0048500643093|00380|00420569092382|15-07-2013 00:07:21|0 00:05:49||
5|0048624229019|0048|0048617693717|15-07-2013 00:07:24|0 00:12:49||
9|0048549885342|00420|00421696729559|15-07-2013 00:07:32|0 00:00:24||81.65
4|00380521698931|007|00420531680788|15-07-2013 00:07:32|0 00:05:37||
8|2008-2800|00421||15-07-2013 00:07:40|0 00:13:08||25.09
3|0048619944957|00421|00370560635973|15-07-2013 00:07:46|0 00:01:59||
10|00380608172166|0049|0049560099652|15-07-2013 00:07:51|0 00:08:26||23.49
2|00380698241735|00370|00375655727932|15-07-2013 00:07:58|0 00:11:06||
1|0048659249685|0048|00421531482856|15-07-2013 00:08:02|0 00:05:19||
10|0048682331877|00370|0048550784065|15-07-2013 00:08:08|0 00:05:14||10.41
6|00380695707819|0048|00421527025192|15-07-2013 00:08:15|0 00:05:51||
8|3638-7639|007||15-07-2013 00:08:18|0 00:00:47||84.44
9|0048549531447|00421|00421686946784|15-07-2013 00:08:26|0 00:01:41||15.5
5|00380522384847|00420|00370550909293|15-07-2013 00:08:29|0 00:02:45||
